Date,BLL,DISH,DVA,NEM,UDR,VFC
3/13/2013,21.25103188,34.65000153,58.59999847,33.15068054,17.90049362,31.58640289
3/14/2013,21.36244774,34.22999954,59.27500153,33.66083145,17.99633789,31.76538658
3/15/2013,21.35780334,35.15000153,59.09999847,33.73733139,18.21751404,31.80774689
3/18/2013,21.26496696,34.72000122,58.63999939,34.034935,17.99633789,31.50556183
3/19/2013,21.34851837,34.66999817,58.93999863,34.32398987,17.82676888,31.88667297
3/20/2013,21.45064545,36.47999954,59.52000046,34.33250046,17.72355461,32.02715683
3/21/2013,21.28353119,36.84999847,58.86999893,35.24226379,17.5245018,32.00408173
3/22/2013,21.29281425,37.79000092,58.88499832,35.37829971,17.64245415,31.97327805
3/25/2013,21.38565636,37.97000122,58.95000076,34.9361763,17.63508606,31.88280106
3/26/2013,21.57597542,37.95999908,59.15999985,34.92766571,17.77515793,31.89243126
3/27/2013,21.97518349,38.02000046,59.09999847,35.48882294,17.79728317,31.94247818
3/28/2013,22.08659744,37.90000153,59.29499817,35.61635208,17.83413887,32.28700638
4/1/2013,21.95662117,38.04000092,59.95500183,35.19124222,17.91523743,31.87510681
4/2/2013,22.28620338,38.06999969,63.59999847,33.86487198,17.93735886,32.32165146
4/3/2013,21.80343819,36.66999817,62.65499878,32.70856094,17.87837791,32.37745285
4/4/2013,21.88234329,36.99000168,62.66500092,33.2612114,18.22488594,32.67193985
4/5/2013,21.81272125,37.20000076,62.68999863,33.47377396,18.44446182,32.5410614
4/8/2013,21.94269371,36.40000153,62.875,33.16768265,18.56356239,32.71429062
4/9/2013,22.01231766,36.24000168,62.85499954,34.034935,18.47423172,32.51796722
4/10/2013,22.36047745,36.68999863,62.66999817,33.15068054,18.422134399999997,33.18391037
4/11/2013,22.34190178,36.63000107,63.52500153,32.86159134,18.49656296,32.98373032
4/12/2013,22.23049927,37.63000107,63.45500183,30.92306137,18.5263443,33.02800369
4/15/2013,21.53419495,36.77000046,62.09500122,28.83998299,18.25094223,32.00214386
4/16/2013,21.78486824,37.93000031,63.25,28.72094917,18.57843971,32.67578125
4/17/2013,21.62240028,37.83000183,62.41500092,27.51361847,18.19139099,32.57569885
4/18/2013,21.32994843,38.45000076,60.74000168,27.86221313,18.16906548,32.26968002
4/19/2013,21.5527668,39.0,61.31000137,28.04076767,18.28071022,32.5564537
